year_refit,model,trading_cost,n_months_gross,ann_ret_ls_gross,sharpe_ls_gross,tstat_ls_gross,tstat_nw_ls_gross,maxdd_ls_gross,n_months_net,ann_ret_ls_net,sharpe_ls_net,tstat_ls_net,tstat_nw_ls_net,maxdd_ls_net,avg_turnover_ls
2016,pred_en_S,0.006,12,-0.00658666235783723,-0.111160873346708,-0.111160873346708,-0.136789859102632,-0.0480592821922111,12,-0.00707497652891176,-0.120856417541367,-0.120856417541367,-0.147943247898267,-0.0482873484929557,0.44631469686698
2016,pred_rf_S,0.006,12,-0.0359258761509058,-0.901898598543105,-0.901898598543105,-1.31601137103202,-0.03124545079987,12,-0.0344605366515893,-0.859750682247711,-0.859750682247711,-1.24756358301489,-0.0310693306207523,0.894064337179212
2017,pred_en_H,0.006,12,0.172978172163367,3.65138014665249,3.65138014665249,5.47902450177919,-0.00585054596161613,12,0.166635263890056,3.49429735368049,3.49429735368049,5.15398775144006,-0.00633054596161616,0.687394976092247
2017,pred_ols3,0.006,12,0.202548472712594,2.42546767035219,2.42546767035219,2.2466015429328,-0.0354416999676767,12,0.193847842980483,2.33071766735964,2.33071766735964,2.16308740185253,-0.0376261553403345,0.421100590751352
2017,pred_rf_H,0.006,12,0.103339172901949,2.10839735577365,2.10839735577365,1.96283785364855,-0.0228390291979819,12,0.10330999874688,2.11194076068273,2.11194076068273,1.97831828070321,-0.0229566669355565,1.12400887737833
2017,pred_en_M,0.006,12,0.0786376800515138,2.15159993114452,2.15159993114452,2.21830102519226,-0.0124717418325512,12,0.0715266367912668,1.98851491624019,1.98851491624019,2.05849011396024,-0.0128353781961874,0.778943252168354
2017,pred_en_S,0.006,12,0.157616618014647,1.91226393095825,1.91226393095825,3.58931221238545,-0.0393502853670275,12,0.158364379754526,1.91188969188237,1.91188969188237,3.62862934025076,-0.0394118423713446,0.446539840658736
2017,pred_sofar_comp_main,0.006,12,0.133433216766966,1.85470278119211,1.85470278119211,4.44576602013465,-0.0289672056624547,12,0.132689489460646,1.83819657222712,1.83819657222712,4.35447929458581,-0.0295032782995656,0.41300500248104
2017,pred_sofar_comp_rob,0.006,12,0.133433216766966,1.85470278119211,1.85470278119211,4.44576602013465,-0.0289672056624547,12,0.132689489460646,1.83819657222712,1.83819657222712,4.35447929458581,-0.0295032782995656,0.41300500248104
2017,pred_xgb_H,0.006,12,0.0910245746829559,1.65862863994401,1.65862863994401,4.39657208293452,-0.0187278432656959,12,0.0845334534669533,1.53121503214631,1.53121503214631,4.06791214986886,-0.0206293086294068,0.981235314107641
